Acervicornis000363	negative regulation of non-canonical Wnt signaling pathway
Acervicornis021734	thioesterase binding
Acervicornis008889	potassium voltage-gated channel
Acervicornis023284	fibroblast growth factor-activated receptor activity
Acervicornis033599	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
Acervicornis023976	NAD-dependent histone deacetylase activity (H4-K16 specific)
Acervicornis008228	protein localization to phagophore assembly site
Acervicornis010899	metalloendopeptidase activity
Acervicornis022804	positive regulation of lung ciliated cell differentiation
Acervicornis014185	fibroblast growth factor-activated receptor activity
Acervicornis000663	ligand-gated sodium channel activity
Acervicornis020121	RNA binding motif protein 19
Acervicornis016356	Si dkey-121j17.6
Acervicornis000456	actin binding
Acervicornis013425	positive regulation of rRNA processing
Acervicornis010375	PHR domain
Acervicornis024417	actin filament severing
Acervicornis020434	proteasome-activating ATPase activity
Acervicornis027916	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane. SRP9 together with SRP14 and the Alu portion of the SRP RNA, constitutes the elongation arrest domain of SRP. The complex of SRP9 and SRP14 is required for SRP RNA binding
Acervicornis005400	V-crk avian sarcoma virus CT10 oncogene
Acervicornis019907	positive regulation of DNA-directed DNA polymerase activity
Acervicornis029516	Belongs to the ligand-gated ion channel (TC 1.A.9) family
Acervicornis34379	centriole replication
Acervicornis026151	ubiquitin conjugating enzyme binding
Acervicornis019897	peptidase inhibitor activity
Acervicornis014002	G-protein coupled receptor activity
Acervicornis018217	Receptor for arginine vasopressin. The activity of this receptor is mediated by G proteins which activate a phosphatidyl- inositol-calcium second messenger system
Acervicornis009391	magnesium ion transmembrane transporter activity
Acervicornis020633	sequence-specific DNA binding
Acervicornis027289	HCLS1 binding protein 3
Acervicornis005797	positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
Acervicornis022264	Defective in cullin neddylation 1 domain containing
Acervicornis014795	DDE superfamily endonuclease
Acervicornis34125	Mitogen-activated protein kinase kinase kinase 19
Acervicornis031214	metalloendopeptidase activity
Acervicornis015927	ubiquitin-protein transferase activity
Acervicornis010096	Divergent CRAL/TRIO domain
Acervicornis001842	gamma-butyrobetaine dioxygenase activity
Acervicornis017572	Helix-turn-helix of DDE superfamily endonuclease
Acervicornis019900	Golgi-associated plant pathogenesis-related protein 1-like
Acervicornis022224	Nucleoside diphosphate kinase
Acervicornis014815	Family with sequence similarity 46, member
Acervicornis014156	fibroblast growth factor-activated receptor activity
Acervicornis031675	-
Acervicornis029163	Ribonuclease H protein
Acervicornis026450	dyslexia-associated protein
Acervicornis006528	succinate-CoA ligase (GDP-forming) activity
