Acropora6341	Intracellular trafficking, secretion, and vesicular transport
Acropora24912	Signal transduction mechanisms
Acropora685	Energy production and conversion
Acropora15796	Carbohydrate transport and metabolism
Acropora2336	Energy production and conversion
Acropora1848	Cytoskeleton
Acropora72520	Function Unknown
Acropora22890	
Acropora18894	Function Unknown
Acropora35173	Intracellular trafficking, secretion, and vesicular transport
Acropora13654	Function Unknown
Acropora36749	Chromatin structure and dynamics
Acropora2085	
Acropora23990	Lipid transport and metabolism
Acropora3215	Signal transduction mechanisms
Acropora16008	
Acropora2993	Energy production and conversion
Acropora9967	Chromatin structure and dynamics
Acropora15107	Function Unknown
Acropora55351	
Acropora23126	Translation, ribosomal structure and biogenesis
Acropora52578	Translation, ribosomal structure and biogenesis
Acropora91525	Cytoskeleton
Acropora25162	Cytoskeleton
Acropora61441	Posttranslational modification, protein turnover, chaperones
Acropora7286	Nuclear structure
Acropora6146	Function Unknown
Acropora11858	
Acropora30726	Amino acid transport and metabolism
Acropora52724	Cell cycle control, cell division, chromosome partitioning
Acropora37582	Function Unknown
Acropora12420	
Acropora79989	Signal transduction mechanisms
Acropora73444	Function Unknown
Acropora10747	Translation, ribosomal structure and biogenesis
Acropora8236	Function Unknown
Acropora58070	Coenzyme transport and metabolism
Acropora48988	Intracellular trafficking, secretion, and vesicular transport
Acropora41007	
Acropora91712	Inorganic ion transport and metabolism
Acropora1005	Intracellular trafficking, secretion, and vesicular transport
Acropora27246	Signal transduction mechanisms
Acropora39666	RNA processing and modification
Acropora85370	Chromatin structure and dynamics
Acropora65204	Signal transduction mechanisms
Acropora30379	
Acropora25821	RNA processing and modification
Acropora21489	Cytoskeleton
Acropora22978	
Acropora7054	Signal transduction mechanisms
Acropora18632	Inorganic ion transport and metabolism
Acropora50087	Replication, recombination and repair
Acropora36218	Carbohydrate transport and metabolism
Acropora23480	Inorganic ion transport and metabolism
Acropora19484	Carbohydrate transport and metabolism
Acropora67670	Energy production and conversion
Acropora55204	Translation, ribosomal structure and biogenesis
Acropora51039	Carbohydrate transport and metabolism
Acropora29650	
Acropora7799	Amino acid transport and metabolism
Acropora8107	Transcription
Acropora5762	Posttranslational modification, protein turnover, chaperones
Acropora10691	Translation, ribosomal structure and biogenesis
Acropora15968	Translation, ribosomal structure and biogenesis
Acropora2823	Function Unknown
Acropora4921	Translation, ribosomal structure and biogenesis
Acropora89646	Replication, recombination and repair
Acropora9339	Replication, recombination and repair
Acropora10180	
Acropora9288	
Acropora83503	Intracellular trafficking, secretion, and vesicular transport
Acropora47730	Signal transduction mechanisms
Acropora36000	Transcription
Acropora32873	Lipid transport and metabolism
Acropora4078	Coenzyme transport and metabolism
Acropora57391	Amino acid transport and metabolism
Acropora86742	Function Unknown
Acropora50814	Inorganic ion transport and metabolism
Acropora5404	Amino acid transport and metabolism
Acropora28552	Transcription
Acropora31463	Inorganic ion transport and metabolism
Acropora66106	Posttranslational modification, protein turnover, chaperones
Acropora17190	Posttranslational modification, protein turnover, chaperones
Acropora84681	Function Unknown
Acropora9202	Signal transduction mechanisms
Acropora9925	Defense mechanisms
Acropora92256	Intracellular trafficking, secretion, and vesicular transport
Acropora2580	Posttranslational modification, protein turnover, chaperones
Acropora8759	Function Unknown
Acropora8221	Replication, recombination and repair
Acropora30347	RNA processing and modification
Acropora929	Energy production and conversion
Acropora5847	Intracellular trafficking, secretion, and vesicular transport
Acropora59696	Energy production and conversion
Acropora88049	Nucleotide transport and metabolism
Acropora51952	Transcription
Acropora644	Function Unknown
Acropora4118	Function Unknown
Acropora84922	Chromatin structure and dynamics
Acropora71158	Intracellular trafficking, secretion, and vesicular transport
Acropora15149	Posttranslational modification, protein turnover, chaperones
Acropora24624	
Acropora8785	Posttranslational modification, protein turnover, chaperones
Acropora19294	Function Unknown
Acropora92820	Cell cycle control, cell division, chromosome partitioning
Acropora19045	Function Unknown
Acropora15754	Translation, ribosomal structure and biogenesis
Acropora75032	Posttranslational modification, protein turnover, chaperones
Acropora75302	
Acropora1357	Cytoskeleton
Acropora27201	Signal transduction mechanisms
Acropora18329	Translation, ribosomal structure and biogenesis
Acropora15667	Posttranslational modification, protein turnover, chaperones
Acropora13229	Cytoskeleton
Acropora966	Function Unknown
Acropora23507	Chromatin structure and dynamics
Acropora86964	Translation, ribosomal structure and biogenesis
Acropora21228	
Acropora83246	Amino acid transport and metabolism
Acropora158	Translation, ribosomal structure and biogenesis
Acropora65582	Carbohydrate transport and metabolism
Acropora36977	Lipid transport and metabolism
Acropora33363	Posttranslational modification, protein turnover, chaperones
Acropora29671	Posttranslational modification, protein turnover, chaperones
Acropora35245	Energy production and conversion
Acropora12055	Signal transduction mechanisms
Acropora12284	Translation, ribosomal structure and biogenesis
Acropora6561	Function Unknown
Acropora52108	Function Unknown
Acropora48964	Intracellular trafficking, secretion, and vesicular transport
Acropora11522	Posttranslational modification, protein turnover, chaperones
Acropora45829	Translation, ribosomal structure and biogenesis
Acropora26919	Function Unknown
Acropora3750	Signal transduction mechanisms
Acropora94390	Energy production and conversion
Acropora29537	Nucleotide transport and metabolism
Acropora4637	Translation, ribosomal structure and biogenesis
Acropora10043	Carbohydrate transport and metabolism
Acropora1371	Posttranslational modification, protein turnover, chaperones
Acropora50209	Posttranslational modification, protein turnover, chaperones
Acropora43121	
Acropora26655	Amino acid transport and metabolism
Acropora8993	
Acropora17100	Function Unknown
Acropora74151	Posttranslational modification, protein turnover, chaperones
Acropora74759	Secondary metabolites biosynthesis, transport and catabolism
Acropora20139	Energy production and conversion
Acropora29780	Posttranslational modification, protein turnover, chaperones
Acropora77267	Cytoskeleton
Acropora1888	Carbohydrate transport and metabolism
Acropora7152	
Acropora27791	
Acropora37481	Cell wall/membrane/envelope biogenesis
Acropora5627	Cytoskeleton
Acropora17130	RNA processing and modification
Acropora2391	Intracellular trafficking, secretion, and vesicular transport
Acropora1541	Cytoskeleton
Acropora6813	Transcription
Acropora11730	Lipid transport and metabolism
Acropora71423	Carbohydrate transport and metabolism
Acropora2845	Posttranslational modification, protein turnover, chaperones
Acropora48922	Nucleotide transport and metabolism
Acropora16720	Nucleotide transport and metabolism
Acropora20271	Function Unknown
Acropora24391	Nucleotide transport and metabolism
Acropora3335	Function Unknown
Acropora35599	Function Unknown
Acropora12433	Function Unknown
Acropora13130	Function Unknown
Acropora605	Energy production and conversion
Acropora74294	
Acropora7913	Function Unknown
Acropora34067	Energy production and conversion
Acropora14684	Carbohydrate transport and metabolism
Acropora19248	Translation, ribosomal structure and biogenesis
