Acropora2085	K17597
Acropora23990	K19716
Acropora2993	K23167
Acropora15107	K25139
Acropora6542	K20072
Acropora12420	K26273
Acropora8236	K05357
Acropora1005	K04513
Acropora25821	K12830
Acropora34517	K23025
Acropora5762	K10695
Acropora15968	K11593
Acropora25015	K03321
Acropora57391	K13866
Acropora66106	K04798
Acropora31463	K01530
Acropora4118	K22566
Acropora89734	K01081
Acropora14304	K23886
Acropora19045	K10260
Acropora18329	K11593
Acropora48964	K03106
Acropora4637	K06965
Acropora1371	K06630
Acropora8993	K14856
Acropora17100	K11878
Acropora29780	K00432
Acropora27791	K04984
Acropora17130	K18408
Acropora2391	K08907
Acropora1541	K24736
Acropora2845	K10637
Acropora24391	K01921
Acropora13130	K16639
Acropora4941	K16469
Acropora6487	K17497
Acropora39497	K01377
Acropora18964	K15290
Acropora84616	K16602
Acropora64841	K03875
Acropora56182	K01438
Acropora499	K03671
Acropora28899	K10273
Acropora18943	K19179
Acropora3014	K03234
Acropora43950	K13761
Acropora53116	K08546
Acropora78272	K26156
Acropora55830	K13116
Acropora3289	K06901
Acropora15692	K18082
Acropora43597	K10408
Acropora9053	K10615
Acropora13644	K23010
Acropora574	K08059
Acropora10150	K12662
Acropora7687	K13449
Acropora2631	K07830
Acropora72688	K10858
Acropora76554	K03178
Acropora7976	K08333
Acropora34956	K09083
Acropora7593	K08375
Acropora18667	K11253
Acropora37927	K02677
Acropora69593	K08132
Acropora67356	K16749
Acropora46679	K11262
Acropora18734	K12603
Acropora3087	K09632
Acropora9608	K19328
Acropora61527	K12823
Acropora14001	K10380
Acropora70160	K13293
Acropora24190	K17926
Acropora10493	K22803
Acropora3814	K25554
Acropora11261	K21625
Acropora6792	K00994
Acropora29927	K17915
Acropora11236	K18561
Acropora36426	K04874
Acropora12312	K14720
Acropora59289	K13412
Acropora10839	K17199
Acropora42372	K15440
Acropora39982	K11863
Acropora17428	K14786
Acropora44234	K20222
Acropora18361	K12161
Acropora88233	K03235
Acropora34883	K01382
Acropora810	K03781
Acropora59654	K10380
Acropora52142	K14326
Acropora52903	K03737
Acropora5190	K12606
Acropora1798	K03955
Acropora62821	K19178
Acropora86865	K13707
Acropora2239	K04043
Acropora83366	K11416
Acropora59819	K04712
Acropora50122	K10442
Acropora6755	K10645
Acropora4677	K01183
Acropora1195	K13649
Acropora60956	K10534
Acropora27809	K12164
Acropora15130	K22614
Acropora88969	K00138
Acropora25086	K15143
Acropora14282	K14539
Acropora26956	K00688
Acropora53398	K00555
Acropora27516	K22684
Acropora23733	K12734
Acropora34645	K13348
Acropora34513	K09492
Acropora14339	K00461
Acropora25008	K14807
Acropora7568	K00306
Acropora3245	K01412
Acropora33502	K24680
Acropora34488	K01942
Acropora7082	K13082
Acropora66421	K26109
Acropora5740	K14464
Acropora1523	K23422
Acropora40383	K12869
Acropora30732	K15283
Acropora74220	K08798
Acropora82575	K16871
Acropora24030	K00658
Acropora8369	K20358
Acropora29302	K25439
Acropora65413	K20176
Acropora52460	K00026
Acropora16931	K07996
Acropora29131	K01915
Acropora39025	K10766
Acropora20005	K00387
Acropora37022	K24706
Acropora5905	K05732
Acropora258	K04570
Acropora37229	K10144
Acropora55552	K16582
Acropora28917	K13051
Acropora24830	K05302
Acropora17493	K24932
Acropora17520	K19753
Acropora6601	K09189
Acropora22840	K18595
Acropora2906	K02880
Acropora8559	K12362
Acropora14053	K05093
Acropora73127	K00872
Acropora38786	K09191
Acropora26324	K13517
Acropora41640	K05285
Acropora1954	K02583
Acropora48073	K03026
Acropora1058	K05695
Acropora2851	K22403
Acropora13109	K11969
Acropora4842	K25457
Acropora9965	K14350
Acropora36391	K01893
Acropora26256	K10357
Acropora35614	K07300
Acropora5381	K03039
Acropora13319	K18399
Acropora15621	K20177
Acropora13588	K01673
Acropora7379	K22644
Acropora11289	K08731
Acropora15560	K22745
Acropora16165	K05857
Acropora21505	K01537
Acropora36503	K09304
Acropora3225	K01116
Acropora22359	K14556
Acropora59098	K02996
Acropora51840	K20792
Acropora17119	K18740
Acropora41568	K19006
Acropora40628	K17572
Acropora29703	K24469
Acropora22227	K03841
Acropora66031	K07497
Acropora742	K00249
Acropora33932	K21956
Acropora35378	K08851
Acropora24410	K25358
Acropora93519	K05619
Acropora23976	K08635
Acropora18528	K22754
Acropora10400	K10223
Acropora2609	K00898
Acropora21165	K01256
Acropora86382	K12391
Acropora8090	K12663
Acropora42260	K18497
Acropora58242	K11374
Acropora38386	K17231
Acropora86634	K03798
Acropora15066	K17341
Acropora34779	K01648
Acropora33404	K02100
Acropora7111	K14404
Acropora38192	K06677
Acropora63288	K10799
Acropora39590	K16767
Acropora33451	K02324
Acropora21891	K01365
Acropora9071	K06111
Acropora7457	K07937
Acropora78478	K23257
Acropora27384	K08844
Acropora8708	K15157
Acropora27972	K17889
Acropora8026	K24229
Acropora8654	K04079
